UFR 2CO,Floating 2CO,UFR 3EO
"U2, R' D R D' R' D R",,
"R' D R D' R' D R, U2",,
"U, R' D R D' R' D R",,
"R' D R D' R' D R, U",,
"U', R' D R D' R' D R",,
"R' D R D' R' D R, U'",,
"R' D R U R' U' R U R' D' R U' R' U R U'!R': D, R U R' U' R U R'",,
"U R' U' R U R' D R U' R' U R U' R' D' R!R': R U R' U' R U R', D",,
"R' D' R U R' U' R U R' D R U' R' U R U'!R': D', R U R' U' R U R'",,
"U R' U' R U R' D' R U' R' U R U' R' D R!R': R U R' U' R U R', D'",,
"U' R D R' U R U' R' U R D' R' U' R U R'!U' R: D, R' U R U' R' U R",,
"R U' R' U R D R' U' R U R' U' R D' R' U!U' R: R' U R U' R' U R, D",,
"U' R D' R' U R U' R' U R D R' U' R U R'!U' R: D', R' U R U' R' U R",,
"R U' R' U R D' R' U' R U R' U' R D R' U!U' R: R' U R U' R' U R, D'",,
