4M,5M,1+4M,1+5M,2+4M,2+5M,3+4M,3+5M,4+5M,P8,A9,1+P8,1+A9,2+P8,2+A9,4-10M,5-12M,NC (8+)
"E', R2",u M' u2 M' u,,U': L'/S',"L F': E, L2",L F': L'/S',,u' R' U: R'/E',L U' L' U: L/E',"R E' R', U'","U2: L E' L', U'","l': R' E R, U",L: F'/L' S L,"U' D': S, L F' L'","R' u R: U', R E' R'",,,U M' U M U M' U M
"L2, E",R/S',,U: R'/S,"L F: E', L2",L F': L/S',,u' R' U: R/E',R' U R U': R/E,"U, L E2 L'","M', L' U L U'","U: L F2 L', S",R': F'/R S' R',"U' D': L F' L', S","R u' R': U, R' E R",,,M' U' M U' M' U' M U'
"E, L2",R'/S',,U: R/S,"L F: L2, E'",U' l: U/M',,u' R U': R/E,R' U R U': R'/E,"L E2 L', U","L' U L U', M'","U: S, L F2 L'",R': F/R S' R',"U D: S', R' F R","R u' R': R' E R, U",,,U' M' U' M U' M' U' M
,L'/S,,U': R'/E,"R' F': E, R2",U' l: U'/M',,u R U: R/E,R U R' U': R/E',"U', R' E2 R","M', R U' R' U","U': R' F2 R, S'",l: U/R' E R,"U D: R' F R, S'","L' u L: U', L E' L'",,,M' U M U M' U M U
,L/S,,U': R/E,"R' F': R2, E",R u': R/E',,U M' U': L'/E',R U R' U': R'/E',"R' E2 R, U'","R U' R' U, M'","U': S', R' F2 R",l: U'/R' E R,"U' D: S, L F' L'","L' u L: L E' L', U'",,,U' R' U' R U R U R U' R'
,,,U: L/E',"R2 F': E, R2",R u': R'/E',,U M' U': L/E',L' U' L U: L'/E,"M U2 M, U'","U': R' E' R, U'","U: L F L', S",r': U'/L E' L',"U' D: L F' L', S","R2 U R: R E' R', U'",,,R U R' U' R' U' R' U R U
,,,U: L'/E',"R2 F': R2, E",S' U: L'/E,,U' M' U: R/E,L' U' L U: L/E,"M U2 M, U","U2: R' E' R, U","U: S, L F L'",r': U/L E' L',"U D': S', R' F R","R2 U R: U', R E' R'",,,U' D R' U' R U R U R U' R' D'
,,,U': R/E',"L B': E, L2",S U': R/E',,U' M' U: R'/E,R' U R U': R'/E',"L F' L', S","U: L E L', U","U': R' F' R, S'","L U2: r' E r, U'","U D': R' F R, S'","L2 U' L': L' E L, U",,,U L U L U' L' U' L' U' L
,,,U': R'/E',"L B': L2, E",M' U: L'/S',,U R' F: R'/S',R' U R U': R/E',"S, L F' L'","U2: L E L', U'","U': S', R' F' R","L U: r' E r, U","U M: U, R E' R'","L2 U' L': U, L' E L",,,L' U L U L U L' U' L' U'
,,,U: L'/E,"R' B: E', R2",M' U: L/S',,U L F': L/S,L U' L' U: L/E,"R' F R, S'","M, L U L' U'","U: L' B' L, S","l U: l' E l, U","U M: R E' R', U",,,,U' R' U' R' U R U R U R'
