4M,5M,1+4M,1+5M,2+4M,2+5M,3+4M,3+5M,4+5M,P8,A9,1+P8,1+A9,2+P8,2+A9,4-10M,5-12M,NC (8+)
,,,L2: U/M',,U S': U'/M,,,,"U2, R E2 R'","U2: L, U M U'","S: L, U' M' U",,,,,,
,,,R2: U/M',,U u: L'/E,,,,"U2, L' E2 L","U: M, U R' U'","S: U' M' U, L",,,,,,
,,,R2: U'/M',,U u: L/E,,,,"L' E2 L, U2","U2: R', U' M U","S': R', U M' U'",,,,,,
,,,u': R/S',,U' u': R/E',,,,"U2, L E' L'","U: M, U R U'","S': U M' U', R'",,,,,,
,,,u': R'/S',,U' u': R'/E',,,,"L E' L', U2","U2: R, U' M U","D: S', R F' R'",,,,,,
,,,S: L'/E',,U' u': L/E',,,,"U2, L' E L","L: E', l' U l","D: R F' R', S'",,,,,,
,,,S: L/E',,U' u': L'/E',,,,"L' E L, U2","M': U, R S' R'","D': S, L' F L",,,,,,
,,,S': R/E,,u U: R'/E,,,,"R' E' R, U2","U': U' R' U, M'","D': L' F L, S",,,,,,
,,,S': R'/E,,U u: R/E,,,,"U2, R' E' R","U': M', U' R' U","D: S, L' F L",,,,,,
,,,S: R/S,,L F: L/S',,,,"R' E2 R, U2","R: U' M' U, R","D: L' F L, S",,,,,,
,,,S: R'/S,,L F: L'/S',,,,"U2, R' E2 R","R2: U' M' U, R'","D': S', R F' R'",,,,,,
,,,S': L'/S',,R' F': R'/S,,,,"U2, L E2 L'","R': U M U', R'","D': R F' R', S'",,,,,,
,,,S': L/S',,R' F': R/S,,,,"L E2 L', U2","R2: U M U', R","l: U', R S2 R'",,,,,,
,,,u: L'/S,,r' u: R'/E,,,,"U' M U, L","M: U', l' E l","l: R S2 R', U'",,,,,,
,,,u: L/S,,r' u: R/E,,,,"L, U' M U","L': E, l U' l'","S: L, U M U'",,,,,,
,,,S: R'/S',,U' u': L'/E,,,,"U M' U', L'","r: U', r E' r'","S: U M U', L",,,,,,
,,,S: R/S',,U' u': L/E,,,,"L', U M' U'","r: r E' r', U'","S': R', U' M U",,,,,,
,,,S': L/S,,U u: R/E',,,,"R' F2 R, S","l': U, l' E l","S': U' M U, R'",,,,,,
,,,S': L'/S,,U u: R'/E',,,,"S, R' F2 R","l': l' E l, U",,,,,,,
,,,D: R/S',,U u: L/E',,,,"R, U' M' U","l: l E' l', U'",,,,,,,
,,,D: R'/S',,U u: L'/E',,,,"U M U', R","l: U', l E' l'",,,,,,,
,,,D': L'/S,,U' u': R'/E,,,,"R' F' R, S","r': r' E r, U",,,,,,,
,,,D': L/S,,U' u': R/E,,,,"S, R' F' R","r': U, r' E r",,,,,,,
,,,u2: L/S,,r' U': L'/E',,,,"S', L F2 L'","R': R' F2 R, S'",,,,,,,
,,,u2: L'/S,,r' U': L/E',,,,"L F2 L', S'","R': S', R' F2 R",,,,,,,
,,,u2: R'/S',,l U: R/E,,,,"S', L' B2 L","L: S, L F2 L'",,,,,,,
,,,u2: R/S',,l U: R'/E,,,,"R B2 R', S","L: L F2 L', S",,,,,,,
,,,D': R/S',,R D: R/S',,,,"S, R B2 R'","M': U' R U, M'",,,,,,,
,,,D': R'/S',,R D: R'/S',,,,"R', U' M' U","M2: U' R U, M",,,,,,,
,,,D: L'/S,,S M': U/M',,,,"U M U', R'","M': U L' U', M'",,,,,,,
,,,D: L/S,,S M': U'/M',,,,"R B R', S","M2: U L' U', M",,,,,,,
,,,R: u' M' u2 M' u',,R D': R'/S',,,,"S, R B R'","R2: U M' U', R'",,,,,,,
,,,L': u M' u2 M' u,,R D': R/S',,,,"S', L' B' L","R: U M' U', R",,,,,,,
,,,L: u M' u2 M' u,,L D: L'/S,,,,"L' B' L, S'","L2: U' M' U, L",,,,,,,
,,,R': u' M' u2 M' u',,L D: L/S,,,,"S', L F L'","L': U' M' U, L'",,,,,,,
,,,u': L'/S,,R' U2: R'/E,,,,"L F L', S'","R': R' B2 R, S",,,,,,,
,,,u': L/S,,R' U2: R/E,,,,"E, L' U2 L","R': S, R' B2 R",,,,,,,
,,,u: R/S',,R U2: R'/E,,,,"L' U2 L, E","R': R' B R, S",,,,,,,
,,,u: R'/S',,R U2: R/E,,,,"E', R U2 R'","R': S, R' B R",,,,,,,
,,,S': R/E',,R' U2: R'/E',,,,"R U2 R', E'","L: L B' L', S'",,,,,,,
,,,S': R'/E',,R' U2: R/E',,,,"R' B2 R, S","L: S', L B' L'",,,,,,,
,,,S: L/E,,R U2: R/E',,,,"S, R' B2 R","R': S', R' F' R",,,,,,,
,,,S: L'/E,,R U2: R'/E',,,,"L B2 L', S'","R': R' F' R, S'",,,,,,,
,,,,,L' S: L'/E',,,,"S', L B2 L'","L': S', L' F L",,,,,,,
,,,,,L' S: L/E',,,,"E R' E', l'","L: L F L', S",,,,,,,
,,,,,R S': R/E,,,,"l', E R' E'","R2: U' M U, R'",,,,,,,
,,,,,R S': R'/E,,,,"R F2 R', S","R: U' M U, R",,,,,,,
,,,,,R E: R'/E,,,,"S, R F2 R'","L2: U M U', L",,,,,,,
,,,,,R E: R/E,,,,"L' F2 L, S'","L': U M U', L'",,,,,,,
,,,,,L' E': L/E',,,,"S', L' F2 L","M: U R U', M",,,,,,,
,,,,,L' E': L'/E',,,,"E', L U2 L'","M2: U R U', M'",,,,,,,
,,,,,R' S': R/E',,,,"L U2 L', E'","M: U' L' U, M",,,,,,,
,,,,,R' S': R'/E',,,,"E, R' U2 R","M2: U' L' U, M'",,,,,,,
,,,,,L S: L'/E,,,,"R' U2 R, E","R2: U M2 U', R'",,,,,,,
,,,,,L S: L/E,,,,"L' S' L, F","R: U M2 U', R",,,,,,,
,,,,,r E': L'/S',,,,"F, L' S' L","L2: U' M2 U, L",,,,,,,
,,,,,r E': L/S',,,,"R S R', F'","L': U' M2 U, L'",,,,,,,
,,,,,R E': R/E',,,,"F', R S R'","R: U' M2 U, R",,,,,,,
,,,,,R E': R'/E',,,,"L' U2 L, E'","R2: U' M2 U, R'",,,,,,,
,,,,,R' S': R'/E,,,,"E', L' U2 L","L': U M2 U', L'",,,,,,,
,,,,,R' S': R/E,,,,"R U2 R', E","L2: U M2 U', L",,,,,,,
,,,,,M u': L'/E,,,,"E, R U2 R'","L: U' M' U, L",,,,,,,
,,,,,M u': L/E,,,,"S', R' F2 R","L2: U' M' U, L'",,,,,,,
,,,,,M u: R/E',,,,"R' F2 R, S'","R': U M' U', R'",,,,,,,
,,,,,M u: R'/E',,,,"S, L F2 L'","R2: U M' U', R",,,,,,,
,,,,,r' U: R/E,,,,"L F2 L', S","M2: U L U', M",,,,,,,
,,,,,r' U: R'/E,,,,"U M' U', R","M': U L U', M'",,,,,,,
,,,,,R D': R'/E,,,,"R, U M' U'","M2: U' R' U, M",,,,,,,
,,,,,R D': R/E,,,,"U' M' U, L'","M': U' R' U, M'",,,,,,,
,,,,,R D: R'/E,,,,"L', U' M' U","M: U' L U, M",,,,,,,
,,,,,R D: R/E,,,,"U' M U, R","M2: U' L U, M'",,,,,,,
,,,,,l' U: R/S,,,,"R, U' M U","M: U R' U', M",,,,,,,
,,,,,l' U: R'/S,,,,"U M U', L'","M2: U R' U', M'",,,,,,,
,,,,,r U': L'/S',,,,"L', U M U'","L: U M2 U', L",,,,,,,
,,,,,r U': L/S',,,,"U M2 U', R","L2: U M2 U', L'",,,,,,,
,,,,,M' U: L'/E',,,,"R, U M2 U'","R': U' M2 U, R'",,,,,,,
,,,,,M' U: L/E',,,,"U' M2 U, L'","R2: U' M2 U, R",,,,,,,
,,,,,M' U': R/E,,,,"L', U' M2 U","L: U M U', L",,,,,,,
,,,,,M' U': R'/E,,,,"U' M2 U, R","L2: U M U', L'",,,,,,,
,,,,,l u: R'/E,,,,"R, U' M2 U","R': U' M U, R'",,,,,,,
,,,,,l u: R/E,,,,"U M2 U', L'","R2: U' M U, R",,,,,,,
,,,,,r' u': L/E',,,,"L', U M2 U'","L: U' M2 U, L",,,,,,,
,,,,,r' u': L'/E',,,,"S', R' F' R","L2: U' M2 U, L'",,,,,,,
,,,,,r' U: R'/E',,,,"R' F' R, S'","R': U M2 U', R'",,,,,,,
,,,,,r' U: R/E',,,,"S, L F L'","R2: U M2 U', R",,,,,,,
,,,,,l U': L/E,,,,"L F L', S",,,,,,,,
,,,,,l U': L'/E,,,,"R', U M' U'",,,,,,,,
,,,,,R D': R/E',,,,"U M' U', R'",,,,,,,,
,,,,,R D': R'/E',,,,"L, U' M' U",,,,,,,,
,,,,,R' D': R/E,,,,"U' M' U, L",,,,,,,,
,,,,,R' D': R'/E,,,,"U R' U', S",,,,,,,,
,,,,,l U': R'/S,,,,"S, U R' U'",,,,,,,,
,,,,,l U': R/S,,,,"U' L U, S'",,,,,,,,
,,,,,r' U: L/S',,,,"S', U' L U",,,,,,,,
,,,,,r' U: L'/S',,,,"U' R U, S",,,,,,,,
,,,,,M U': L'/E',,,,"S, U' R U",,,,,,,,
,,,,,M U': L/E',,,,"U L' U', S'",,,,,,,,
,,,,,M U: R/E,,,,"S', U L' U'",,,,,,,,
,,,,,M U: R'/E,,,,"E, L U2 L'",,,,,,,,
,,,,,M2 U: L'/E',,,,"L U2 L', E",,,,,,,,
,,,,,M2 U: L/E',,,,"E', R' U2 R",,,,,,,,
,,,,,M2 U': R/E,,,,"R' U2 R, E'",,,,,,,,
,,,,,M2 U': R'/E,,,,"R B2 R', S'",,,,,,,,
,,,,,L F2: L'/S,,,,"S', R B2 R'",,,,,,,,
,,,,,L F2: L/S,,,,"L' B2 L, S",,,,,,,,
,,,,,R' F2: R/S',,,,"S, L' B2' L",,,,,,,,
,,,,,R' F2: R'/S',,,,"R B R', S'",,,,,,,,
,,,,,M2 U': L/E',,,,"S', R B R'",,,,,,,,
,,,,,M2 U': L'/E',,,,"L' B' L, S",,,,,,,,
,,,,,M2 U: R'/E,,,,"S, L' B' L",,,,,,,,
,,,,,M2 U: R/E,,,,"S, R' B R",,,,,,,,
,,,,,r U': R/E,,,,"R' B R, S",,,,,,,,
,,,,,r U': R'/E,,,,"S', L B' L'",,,,,,,,
,,,,,R' D: R/E,,,,"L B' L', S'",,,,,,,,
,,,,,R' D: R'/E,,,,"S, R F' R'",,,,,,,,
,,,,,R' F': R'/S',,,,"R F' R', S",,,,,,,,
,,,,,L F: L/S,,,,"S', L' F L",,,,,,,,
,,,,,L f: L/S',,,,"L' F L, S'",,,,,,,,
,,,,,L f: L'/S',,,,"U' M U, R'",,,,,,,,
,,,,,R' f': R'/S,,,,"R', U' M U",,,,,,,,
,,,,,R' f': R/S,,,,"U M U', L",,,,,,,,
,,,,,M' u: L'/E',,,,"L, U M U'",,,,,,,,
,,,,,M' u: L/E',,,,"U M2 U', R'",,,,,,,,
,,,,,M' u': R/E,,,,"R', U M2 U'",,,,,,,,
,,,,,M' u': R'/E,,,,"U' M2 U, L",,,,,,,,
,,,,,M' u: R/S,,,,"L, U' M2 U",,,,,,,,
,,,,,M' u: R'/S,,,,"U' M2 U, R'",,,,,,,,
,,,,,M2 U: R/E',,,,"R', U' M2 U",,,,,,,,
,,,,,M2 U: R'/E',,,,"U M2 U', L",,,,,,,,
,,,,,M2 U': L'/E,,,,"L, U M2 U'",,,,,,,,
,,,,,M2 U': L/E,,,,"l, E R E'",,,,,,,,
,,,,,F S': R'/E,,,,"E R E', l",,,,,,,,
,,,,,F S': R/E,,,,"L' S L, F2",,,,,,,,
,,,,,M U: R/E',,,,"F2, L' S L",,,,,,,,
,,,,,M U: R'/E',,,,"B2, R' S' R",,,,,,,,
,,,,,M U': L'/E,,,,"R' S' R, B2",,,,,,,,
,,,,,M U': L/E,,,,"B2, L' S' L",,,,,,,,
,,,,,l U: R/E',,,,"L' S' L, B2",,,,,,,,
,,,,,l U: R'/E',,,,"l, S' R' S",,,,,,,,
,,,,,R' D': R'/E',,,,"S' R' S, l",,,,,,,,
,,,,,R' D': R/E',,,,"r U' r', E",,,,,,,,
,,,,,M2 U': R/E',,,,"E, r U' r'",,,,,,,,
,,,,,M2 U': R'/E',,,,"E', L D L'",,,,,,,,
,,,,,M2 U: L'/E,,,,"L D L', E'",,,,,,,,
,,,,,M2 U: L/E,,,,"R' D' R, E",,,,,,,,
,,,,,L' S: L/E,,,,"E, R' D' R",,,,,,,,
,,,,,L' S: L'/E,,,,"E', l' U l",,,,,,,,
,,,,,R S': R'/E',,,,"l' U l, E'",,,,,,,,
,,,,,R S': R/E',,,,"L' E' L, D'",,,,,,,,
,,,,,l U2: R/E',,,,"D', L' E' L",,,,,,,,
,,,,,l U2: R'/E',,,,"F, L S L'",,,,,,,,
,,,,,r' U2: L/E,,,,"L S L', F",,,,,,,,
,,,,,r' U2: L'/E,,,,"L' E' L, D",,,,,,,,
,,,,,,,,,"D, L' E' L",,,,,,,,
,,,,,,,,,"R E R', D'",,,,,,,,
,,,,,,,,,"D', R E R'",,,,,,,,
,,,,,,,,,"S', U R' U'",,,,,,,,
,,,,,,,,,"U R' U', S'",,,,,,,,
,,,,,,,,,"S, U' L U",,,,,,,,
,,,,,,,,,"U' L U, S",,,,,,,,
,,,,,,,,,"R S' R', F2",,,,,,,,
,,,,,,,,,"F2, R S' R'",,,,,,,,
,,,,,,,,,"E', r U' r'",,,,,,,,
,,,,,,,,,"r U' r', E'",,,,,,,,
,,,,,,,,,"E, l' U l",,,,,,,,
,,,,,,,,,"l' U l, E",,,,,,,,
,,,,,,,,,"E, r' U r",,,,,,,,
,,,,,,,,,"r' U r, E",,,,,,,,
,,,,,,,,,"E', l U' l'",,,,,,,,
,,,,,,,,,"l U' l', E'",,,,,,,,
,,,,,,,,,"S, L' F2 L",,,,,,,,
,,,,,,,,,"L' F2 L, S",,,,,,,,
,,,,,,,,,"S', R F2 R'",,,,,,,,
,,,,,,,,,"R F2 R', S'",,,,,,,,
,,,,,,,,,"E', R D R'",,,,,,,,
,,,,,,,,,"R D R', E'",,,,,,,,
,,,,,,,,,"E, L' D' L",,,,,,,,
,,,,,,,,,"L' D' L, E",,,,,,,,
,,,,,,,,,"R' E' R, D",,,,,,,,
,,,,,,,,,"D, R' E' R",,,,,,,,
,,,,,,,,,"L E L', D'",,,,,,,,
,,,,,,,,,"D', L E L'",,,,,,,,
,,,,,,,,,"L' F L, S",,,,,,,,
,,,,,,,,,"S, L' F L",,,,,,,,
,,,,,,,,,"R F' R', S'",,,,,,,,
,,,,,,,,,"S', R F' R'",,,,,,,,
,,,,,,,,,"l U' l', E",,,,,,,,
,,,,,,,,,"E, l U' l'",,,,,,,,
,,,,,,,,,"r' U r, E'",,,,,,,,
,,,,,,,,,"E', r' U r",,,,,,,,
,,,,,,,,,"R' E' R, D'",,,,,,,,
,,,,,,,,,"D', R' E' R",,,,,,,,
,,,,,,,,,"L E L', D",,,,,,,,
,,,,,,,,,"D, L E L'",,,,,,,,
,,,,,,,,,"L B' L', S",,,,,,,,
,,,,,,,,,"S, L B' L'",,,,,,,,
,,,,,,,,,"R' B R, S'",,,,,,,,
,,,,,,,,,"S', R' B R",,,,,,,,
,,,,,,,,,"U L' U', S",,,,,,,,
,,,,,,,,,"S, U L' U'",,,,,,,,
,,,,,,,,,"S, L B2 L'",,,,,,,,
,,,,,,,,,"L B2 L', S",,,,,,,,
,,,,,,,,,"R' B2 R, S'",,,,,,,,
,,,,,,,,,"S', R' B2 R",,,,,,,,
,,,,,,,,,"U' R U, S'",,,,,,,,
,,,,,,,,,"S', U' R U",,,,,,,,
