UBL,UBR,UFL,LUB,LUF,LDF,LDB,FUL,FDR,FDL,RUB,RDB,RDF,BUR,BUL,BDL,BDR,DFL,DFR,DBR,DBL
S U R U' R2' F R f' R U' B U2' B' R',Mr' F R F' R U2' r' U r U2' Mr',S' U' R U R' F' R U R' U' R' F R2 U' R' S,M U R' U' Rl U2 r' U' r U2 R'M' x,F D R' D' R2 UD R' D' R U' R2' F',R' F R U R' F U' F U F2 D R U' R' D' R,l U R' U' Rl U2 r' U' r U2 R'l' x,R' U R U R' F R' F' R2 U' R' F' U' F U' R,F' r' F r F U' R U R'r' F R F' M',r' U'D R D R' U R2 D' R D R2 D2 r,F' R U2' R' U2 F' r U' r' F l' U' R U2 x',R' F R D R' F2 R D' R' F R2 D R2 F R2 D' R',R' D' F R U R' F U' F U F2 D R U',S' R' F R' F' R2 U' R' U R f R' F',r UD' R U R' D R2' U' R U R2 U2' r',x' UD R U' R2' U R U2 R D R' U R D2 x,M' U' R' F' U' F R U R' F R' F' R2M,F U R U' R' F' R U' F U' F' U2 R' F U' F',U' F R2' D2 r D' r' D2 R2 F' R' F R F' U,R' U' F' U F R F' U R' U R U2 F R' U R,l' UD R U'D' R U R' D R2' U' R U R U'D' l
F U2' F' U2' r2 U' F' U r2' U' F U F',R U' R' UD R' U' R f' R' U' R f UD',U r' F U R U R' F' U2' F U F2 r,U R' U' R U' F R' F' U' r U R U' r' U,U2' r2 U' F' U r2' U' F U' F',F U' F' U2' r2 U' F' U r2' U',D2 R U' R' UD R' U' f' U' f U R D,R' U r U r' F2 R F' r U r'R' F2 U' R,R F R' F' U2 R' U2' F' r U' r' F2,D R U' R' UD R' U' f' U' f U R D2,F R' U R' D R2 U' R UD' R' D R2 U' R D' F',U R' U' R U2 R' U' R S R f' U' F U2',R U' R' UD R' U' f' U' f U R D',U R' U' F' U2' R' F R U' R' F' R U' F R U',L U r' F U R U R' F' U2' F U F2 x,D F U' F' U2' r2 U' F' U r2' U'D',D' R U' R' UD R' U' f' U' f U R,F' R' F R2 U' R' D f' U R' U2' R f UD',U' S' R U R' U2' f R F' U R' F R2 F',U R' U' R U R2' F R F' R B U B' U',UD' R' U' R U R2' F R F' R B U B' U'D
F U R U R2' U'D' R U R' D R2 U2' F',F R U R2' U'D' R U R' D R2 U' F',U'D' R' F R F' r U2' R' U R U2 r' UD,F U2 R U'D' R2' U R U' R2 D R' U' F',F U' R U R2' U'D' R U R' D R2 F',F U2 R U R2' U'D' R U R' D R2 U F',r UD' R' U R2 D' R D R2 U'D' R U'D2 r',R2' F R D R2' U' R U R2' U'D' R U R2' F' R2,R U' R U R2' E F R F' R' U' R u,r' UD R' D' R U' R2 D R' D' R'M',S' U R' U R U' x' U L' U L U2 R U' R' UE,R F' R' D' F' D R F R' D R' D' R,D' R' F' R2 U' R' U R' u' R' u R F D,U' R U R2' F R f' U R U R' U' S,r UD R' U' R D' R2 U R' U' RM,D F U' F' U2' r' F R U' R' F' r U'D',F R' U R' U' R2 UD R' U' R D' R' F',F R' U' R' D R2 U' R U R2' U'D' R U2 R F',U' R U R' U2' f R f' U R' F R2 F',R U' F' U F R F' U R' U R U2 F R' U R',Lr UD R' U' R D' R2 U R' U' M2 x
r' F r U' F U' R U' R' U2 r U' r' F',R U' R' U S' U F' U' F U R U' R' U' S,r U' R U R' L' U2 R U R' U2 x',U r U' R' U' R U r' F R' F' R U' R' F R F',r U' R U2' r' F r U2' r'R' F,x r U2' R2' F R F' R U2' r' U x',r' D' r D F' R2 U' R' U R' F D',r' U r2 U' r2' D r2 D' r2' D r2 U' r2' D' r,u' R U' R' UD R2 U' R' U R2 y,F R U R' F U' F U F2 R U' R',F2' l'R' U' R2 U R2' D' R2 U R2' U' R2 UD x',R D' R' F R U R' F U' F U F2 R U'D R',r U' R' U r' F2 R F' R' F2 R,U' R U R2' E F R F' R' U' R u R,r U2' R' F R U R' U' R' F' R2 U' R' U2 M,r U r2' D r2 U' r2' U r2 U' r2' D r2 D' r',D' r U' R' U r' F2 R F' R' F2 R D,Lr U r2' D r2 U' r2' U r2 U' r2' D r2 D' r2' x,R' F2 R U r U r' U2 R U R2' F R F' R' F2 R,r D' r2' D' r2 U r2' U' r2 U r2' D' r2 U'D2 r',L' F R U R' F U' F U F2 R U' M' x'
R' U R2 f' U' f R' U F' U2' F R U',R' F' U2 R' F R U' R' F' R U' F U' R,R U' R' F' U F R U R2' F R F',U R B U' B' R' F R' F' R2 U' R',U2' R U R' S R' F R f' U R U R',R' U' R' F' R2 U' R' U2 R U2' R' F R U,U'D' F R' F' U' F R F' U2 R' U' R D,R2 U' R2' F R F' R U' B U2' B' R' U R',F' r' F r F U' R U R2' F R F',D F' U2 R' F R U' R' F' R U' F U'D',R U2' R2' F R' F' R2 U' R' F' U' F R U R U2' R',D' F' r' F r F U' R U R2' F R F' D,F' U2 R' F R U' R' F' R U' F U',U r' D' r U r' D r U2 r U' r' U r U r',U2 l U' R U R2' F R U F U' l' U,D R' U' R' F' R2 U' R' U2 R U2' R' F R U D',U' F R' F' U' F R F' U2 R' U' R,R U' r2' F r U' r U' F R U R' F' U2' R',U' r' D R' D' R2 U' R' F' R2 U R2' F r U2',R' U' R U r' F R' F' R U' R' F R F' U r U',L'r' F' R2 U' R' U R' u' R' u R F M'L
R' u2 R' F' R2 U' R' F' U' F R U R' F u2' R,F R' F R u' R' U R' F' R2 D R' U' R' y,z R' F' R2 U' R' F' U' F R U R' F z',L R U' R' U2 L R U' R' U L' U2 L',UD L' U' L D' L2 U L' U' L2',E F' U' R' F' R2 U' R' U R' F R u ,U r' D r U' r' D R2 U' B U R2' D2 r,L D' L2' U L2 D L2' U' L D' L D L' U L U',L F R' F' R2 U' R' U R B U' B' R'L',r' F D F' D R2 U' B U R2' D2 r,L U' lR U2' R' U2 R' F R F' r U' r' F l'L',u R' U' R U2 R' U' R S R f' U' F U'u',D' r' F D F' D R2 U' B U R2' D2 r D,u' R U R2' F R F' R' u' R u R E',L U' R U R' F' R U R' U' R' F R2 U' R'L',b' L U L' U L U2' L' U b L U L' U',UD r' D r U' r' D R2 U' B U R2' D2 r D',u' R' F R U' R U R2' F R U F U' R' F2 R u,R' D' R U L' U' R' D R U r2' U' r2 U' r F r',u R' U' R U R2' F R F' R B U B' u',B' l U' R U R2' F R U F U' R' F' U x
r' U R U' R' U R' F R U F' U' R' F' R U' r,U2 l U' F U' F' U2' R' F R U' l' U,U' R' F R F' R U2' r' U r U2' R' U,U' R U2' R2' F R F' R U2' r' U M' U,F R U' R' U R' F2 r F' r' F2 R F',F U' F' U2' r' F R U' R' F' r U',D' F R' U R' U' R2 UD R' U' R D' R' F' D,B R' D R2 U' R2' D' R2 U R' D R' D' R U' R' U B',r U' r' U r' F' r2 U2' R' F' R U' r',L' U' R' F R F' R U2' r' U r U2' R' U L,R U'D R D' R2' D R U R' F D2 R' D2 R2 F' D',U r' U r U R' U F' U F U2' R U2,U' R U' R2' F R F' R U2' r' U r U' R' U,U' R U R2' F R F' R U2' r' U r U R' U,U' F R' F R F' R U2' r' U r U2' R' F' U,UD r' D r U r' D' r U r' D r U r' D' r UD',D2 R' F' R2 U' R' U R' u' R' u R F D2,U' F2 U F2 r U' R' F R F' r U r' U r',U2 R U' r' U R' U2' R U R' U R F R' F' r U',U'D' R U R' U2' f R f' U R' F R2 F' D,lR U R U R2' F R U F U' R' F' R U2' R'l'
U' R U' R' D R2 U' R U R2' U'D' R U2 R' U,R' U2' R' F R2 U' R' U' R U R' F' R U R' U R,U' R U R' D R U'D' R2' D R D' R U,U' F R U R' D R2 U' R U R2' U'D' F' U,U'D' R U R' D R2 U' R U R2',U'D R D R2' U'D' R D R' U R2 UD2,U'D2 R U' R2' D R' D' R2 UD R' UD,R' D R2 U' R2' D' R2 U R' D R' D' R U' R' U,U' R D R2' U'D' R D R' U R2 UD',U' D R U' R2' D R' D' R2 UD R' UD2,R' U2' R2 U R2' U' R2 D R2' U' R2 U R2' U'D' R,U'D' R D R2' U'D' R D R' U R2 U,U' R U' R2' D R' D' R2 UD R' UD',R' F R' F' R2 S U' R' U R F R' f',U' F R U R' D R U'D' R2' D R D' R F' U,U'D2 R D R2' U'D' R D R' U R2 UD,U'D' R U' R2' D R' D' R2 UD R' U,U' F' R U' R2' D R' D' R2 UD R' D' F U,U'D R D' R U' R2' D R2 U R2' D' R U' R U R' U,U' R D' R U' R2' D R2 U R2' D' R U' R U R' UD,r2 D' R' U R' U' R2 UD R' U' R D' R' D r2
r' U' r U r2' F2 R U R' F2 r F' U r,D R' U' R U' R2' D R' D' R2 UD R' UD' R D',r' F r' F2 R U' R' F2 r2 U',U' F U R' F' R U' F' U M' U R U' r',M'r U' r U2' R' F R U2' r2' F M,M' F' r F2' R' D R F2' r2' D R,R'r' B' r2 D2 R' B' R D2 r' D R,U'D R D' R' U R' D R2 U' R UD' R' D R2 D',l U L F L2' U2 l U l' U2 L F' U' l',M F' R U2' r' U r U2' R2' F r,R U R' U R2 F2' R' U' R' U R U2' R F2' R2' U',x D' r2' R F' R U2' r' U r U2' R2' F r2 D x',l' U' F' R U R' U' R' F R2 U' R' U' R U R' U l,B U r' U2 l U' R' F2 r2 U' r' U' x,U r' U2 l U' R' F2 r2 U' r' x,B' U r' U2 l U' R' F2 r2 U' r' U x,B2 U r' U2 l U' R' F2 r2 U' r' U2 x,U' R U' R2' D R' UD' R U' R2' D R' U R UD',U' F U F' U' R' F' R2 U' R' U R' F R F' U,r2' D F2 r2 D r2' U' R U R' F2 r F' r,L2' l F' R U2' r' U r U2' R2' F rL
U R U' R2' F R f' R U' B U2' B' R' S,R' U' R U' R2' D R' D' R2 UD R' UD' R,D' r' F r' F2 R U' R' F2 r2 U'D,U2' R UD R' U' R D' R2 U R' U' R U2',D F2 R F' R U2' r' U r U2' R2' F' D',R' D R2 U' R' U2 R' D' R U' R' U'D R' UD' R,D r' F2 r U' r U2' R' F R U2' r2' F' r D',U' R D' R' U R' D R2 U' R UD' R' D R2,R U r U' r' U' F R' F' R r U' R' U r',r' B' R F' R U2' r' U r U2' R2' FB r,R U' D' R' D R' U R D' R2' U' R2 U D R' U' R U R',U2 R' U D' R U R' D R2 U' R U R2' U2' R U2,R U' R' U2 R' D' R U' R' U'D R' U R,R' U'D R2 U' R U R2' U'D' R U R' U R,U'D R' F2 r F' r' F2 R2 U' R' U2D',D F R U2' r' U r U2' R2' F R F2' D',F R U' R' U R' U'D R' UD' R2 U F' U' R',U2 R' F' R2 U R' U' R' F U F' R' F U' R U2,F' R U R U' R' F U2' R F U' R' U R U F' R2',U'D R' D' R D R' U R U' R UD' R2' D R2 D',r U' r2' U B' U' r2 U2' B' U' B r'
F U' R U2' r' U r U2' R2' F R F' U F',D' R' U' R U' R2' D R' D' R2 UD R' UD' R D,U2' R' U R' F2 r F' r' F2 R2 U,r U2' r' F r' F2 R U' R' F2 r2 U r',F2 R F' R U2' r' U r U2' R2' F',F R U2' r' U r U2' R2' F R F2',L2 F2' L' F L' U2 l U' l' U2 L2 F L2',U'D' R D' R' U R' D R2 U' R UD' R' D R2 D,U' R'M' F R U F U' R' F' R U' R U r' U,r' F2 r U' r U2' R' F R U2' r2' F' r,R U R' U R U' R2' B2' R U2' R U R' U' R' B2' R,U' R D' R' D2 R' U' R D' R' UD' R' D R U,U' R U' R D R' U R' U F2 R D R' F2 R D' R',U' M' U2 r U' r' U' F R' F' R2 U' r' U,U' R' F2 r F' r' F2 R2 U' R' U2,L F U' R U2' r' U r U2' R' U F' U L' U',D' R U' R' U2 R' D' R U' R' U'D R' U R D,U' F R' F2 r F' r' F2 R2 U' R' U F' U,U2' R U R' F2 r F' r' F2 R2 U' R2' U2',U r2 U' R U R' F' R U R' U' R' F R2 U' rM' U',U' R' D' R D R' U R U' R UD' R2' D R2
FS' U R U R2' U'D' R U R' D R2 U2' F'S,r' U F U' r f R' U R U R' U' f',D r' F r' F2 R U' R' F2 r2 U'D',L UD L' U' L D' L2 U L' U' L,D' F2 R F' R U2' r' U r U2' R2' F' D,S U' R' F R U R' F U' F U F2 R S',D2 R U' R' U2 R' D' R U' R' U'D R' U R D2,F r U' r' F' D r2 U r' U' r' F r F' U2 r' D',D' F R U2' r' U r U2' R2' F R F2' D,L'r' F U' R' F' R U' R U R2' F R U L2',f U' R U R' U' R U R' F' R U R' U' R' F R2 U2' R' U f',S' R F' R' D' F' D R F R' D R' D' R S,D' r' F2 r U' r U2' R' F R U2' r2' F' r D,U'D' M' U2 r U' r' U' F R' F' R2 U' r' UD,U'D' R' F2 r F' r' F2 R2 U' R' U2D,U'D' R D' R' D2 R' U' R D' R' UD' R' D R UD,L'r' U2' F U' R' F' R U' R U R2' F R U' r2' x',U'D' R' D' R D R' U R U' R UD' R2' D R2 D,U'D' F R' F2 r F' r' F2 R2 U' R' U F' UD,x U2' R' F' R U2' r' U r F r2' F' r2 F' x',R' F' R D R' F R D' R' F D F D' F' R
